onion_id	id	spotify_id	popularity	release	danceability	energy	key	mode	valence	tempo	duration_ms
onion::0w6C7PaVa4nhg7D4	0w6C7PaVa4nhg7D4	5PaViyJwv0XJbCcrnBNuAt	50.0	2016	0.5589999999999999	0.452	0.0	0.0	0.197	80.038	177693
onion::0wosIeFRMmhokumK	0wosIeFRMmhokumK	7u93rCmIM9mBoT4mvfUBTZ	53.0	2006	0.289	0.955	0.0	0.0	0.252	163.947	228213
onion::0wwpblJ9JkW1sjpc	0wwpblJ9JkW1sjpc	39B9ZwF6pF0SA50QZewPon	29.0	2011	0.472	0.9	6.0	0.0	0.362	87.56	288018
onion::0yECeqcY1EWblSB0	0yECeqcY1EWblSB0	2Z8WuEywRWYTKe1NybPQEW	79.0	2015	0.645	0.713	6.0	1.0	0.5660000000000001	74.98899999999998	214507
onion::10hRWrYFSvhhgw6T	10hRWrYFSvhhgw6T	0H1OyEooZ5SzBYYdJEzxoy	54.0	2009	0.648	0.908	4.0	0.0	0.7929999999999999	131.14700000000002	228240
onion::12dt1sEhPPalH4lq	12dt1sEhPPalH4lq	26T7C1NMXKE7hCWhKH2l0o	44.0	2010	0.706	0.679	3.0	0.0	0.875	114.992	185360
onion::14ArRqgQVukeUKwW	14ArRqgQVukeUKwW	1JDIArrcepzWDTAWXdGYmP	64.0	2015	0.58	0.846	9.0	0.0	0.366	129.998	240000
onion::16RyPaV6dHRot8sb	16RyPaV6dHRot8sb	4KjdLo9JWJEKYoAJ8spkat	51.0	2007	0.474	0.902	2.0	1.0	0.279	96.342	209093
onion::17otFPiJfEVHYhNU	17otFPiJfEVHYhNU	714hERk9U1W8FMYkoC83CO	69.0	1975	0.7909999999999999	0.7340000000000001	5.0	1.0	0.962	105.854	244920
onion::18rt8qa4gtllA1g1	18rt8qa4gtllA1g1	0ZcQUwVyXgpUepJsvgOYgk	53.0	2015	0.5760000000000001	0.955	4.0	1.0	0.752	124.972	250973
onion::1AFxSR456HFd6MmV	1AFxSR456HFd6MmV	2OgVsp77En2nju8pnCieVU	67.0	1981	0.33	0.469	10.0	0.0	0.433	201.327	292067
onion::1FHsbrJnBPPP0g0k	1FHsbrJnBPPP0g0k	41LmqBEQojWdLobJyf2xjG	57.0	2017	0.428	0.511	5.0	0.0	0.33	143.684	177172
onion::1IWJeuGsgYWoKgj9	1IWJeuGsgYWoKgj9	5BviHXq4whioVM0HtkKBTf	20.0	2009	0.679	0.532	1.0	0.0	0.28800000000000003	116.932	167507
onion::1K7zJdVbFkvcaZiL	1K7zJdVbFkvcaZiL	4FQhTIpf3bnxGsCr0dHhtr	35.0	1986	0.6990000000000001	0.629	7.0	1.0	0.151	123.449	177427
onion::1KIcWXy82tt3vTBZ	1KIcWXy82tt3vTBZ	3Qa1T3utGYMPQ5lfALE0wq	17.0	1980	0.695	0.579	0.0	0.0	0.8490000000000001	135.721	212106
onion::1LVCIU4fWhE8ms3W	1LVCIU4fWhE8ms3W	7vTENp2sLS3sPY5z4npYNr	39.0	2005	0.805	0.371	7.0	0.0	0.8079999999999999	119.974	215481
onion::1QrsMIpx3nbyX75S	1QrsMIpx3nbyX75S	6c4T1Dz9hwK5xat7eh3g8o	47.0	2015	0.8009999999999999	0.857	6.0	1.0	0.551	117.007	274750
onion::1QviZMRbz8J4Ka5g	1QviZMRbz8J4Ka5g	05jYvY1QVYrTXvB9kecAtc	28.0	2015	0.5479999999999999	0.615	7.0	1.0	0.32	80.569	212360
onion::1SLIcf3T7zK09Tv8	1SLIcf3T7zK09Tv8	4i5CsAoHF8V6fL79WzEHzx	39.0	2005	0.387	0.412	0.0	1.0	0.113	100.879	156933
onion::1V431yH7cge7k1cL	1V431yH7cge7k1cL	0TUPxOcJc4R3PbWo8QwC3m	46.0	1968	0.322	0.227	6.0	1.0	0.218	182.843	278533
onion::1VtWYqp59eTfRKXY	1VtWYqp59eTfRKXY	3EY4O2ZQFIgVU4BSz5rSYx	35.0	2016	0.532	0.85	9.0	1.0	0.741	142.47	176520
onion::1ai2olK0wSUvotep	1ai2olK0wSUvotep	4ghtc1qkwPW5CIjYrac1MJ	35.0	2001	0.111	0.856	9.0	1.0	0.142	80.065	728333
onion::1lEaWer83bIH5NfT	1lEaWer83bIH5NfT	6Tc1dOhovSKFv3cP4IayOW	33.0	2019	0.358	0.883	9.0	1.0	0.34	137.113	317693
onion::1oZ5jT43O0m2kML5	1oZ5jT43O0m2kML5	0fbR95FEaJUxiQYaqZZukv	61.0	2017	0.607	0.7390000000000001	0.0	1.0	0.875	84.46700000000001	280787
onion::1p81fwDoJOVZuiTN	1p81fwDoJOVZuiTN	1acb8u70kClk6NjITaZyuG	48.0	2017	0.507	0.972	8.0	1.0	0.797	120.076	201760
onion::1r7K5QLOQqz8TcFh	1r7K5QLOQqz8TcFh	6QJCZyJv1fhkCyZA3lRoAD	65.0	1988	0.586	0.855	11.0	0.0	0.448	124.917	236333
onion::1rtul4j3ViHhsqLM	1rtul4j3ViHhsqLM	3MTPCu6bPvaVMYa8d79aSw	32.0	2017	0.368	0.6	9.0	1.0	0.0395	146.035	149938
onion::1xk9UiIg7VvCtJnW	1xk9UiIg7VvCtJnW	17yKsz2dbVEMuIt3M5OcxL	37.0	2017	0.524	0.986	11.0	0.0	0.0384	127.955	288867
onion::21UE9PZhrOcR0X3U	21UE9PZhrOcR0X3U	4KzYRLRdiqrbceTxFtHygg	34.0	1982	0.727	0.244	0.0	1.0	0.59	127.739	250587
onion::23UN2fpq2al7TXJb	23UN2fpq2al7TXJb	2Vfbf60Ujpom3Bcljzw7Dd	47.0	2010	0.454	0.867	0.0	1.0	0.67	168.97299999999996	214253
onion::271USGxw4UuxLQh4	271USGxw4UuxLQh4	2bPEmMFmuV7Szif2UmK1t8	52.0	2017	0.561	0.7240000000000001	3.0	1.0	0.5579999999999999	90.02	229667
onion::27PKLgZtrIgtNDce	27PKLgZtrIgtNDce	59Fhvzw9T3dcxTbGzbNvg2	34.0	1981	0.394	0.7759999999999999	9.0	1.0	0.6759999999999999	158.575	200000
onion::28gEuy7QQgp9gNNx	28gEuy7QQgp9gNNx	6UGHk2cmbDC1oidVjXcCKo	49.0	1981	0.528	0.921	2.0	1.0	0.298	144.368	370427
onion::2A6tS7Ej7L5eEW3Z	2A6tS7Ej7L5eEW3Z	73Pi2pRu7YV4rGOzTmJApV	13.0	2017	0.464	0.485	0.0	0.0	0.166	116.822	418316
onion::2DD2dhtxCLKmxff7	2DD2dhtxCLKmxff7	5x72ol5TLUO0ymkQr4JuWB	36.0	2005	0.7040000000000001	0.726	0.0	0.0	0.726	151.972	144987
onion::2GGoHq96n6nnoPRm	2GGoHq96n6nnoPRm	0ZJ3raOAZl4rZYVOAqIXjv	24.0	1983	0.389	0.8290000000000001	7.0	1.0	0.603	145.445	213107
onion::2GpfD9v8gTbPlf3e	2GpfD9v8gTbPlf3e	2kr6RNvbfi8ucPP4EtzAfR	26.0	2015	0.449	0.368	6.0	0.0	0.147	109.621	234152
onion::2HFsFMY433xQqSUM	2HFsFMY433xQqSUM	1H7zdcRD0gLGQY0w5ejGgX	60.0	2014	0.5589999999999999	0.871	5.0	0.0	0.573	104.976	213920
onion::2M7HbNZbLKiyVFDg	2M7HbNZbLKiyVFDg	0c03LEUpwW0O2tmt0dfktG	39.0	2003	0.331	0.8490000000000001	9.0	1.0	0.155	137.405	401187
onion::2MrFuWEi2SjRXR35	2MrFuWEi2SjRXR35	7Bxv0WL7UC6WwQpk9TzdMJ	54.0	2013	0.7020000000000001	0.297	10.0	0.0	0.0676	110.116	228507
onion::2PrZCSCgbDBYv8vl	2PrZCSCgbDBYv8vl	2aBxt229cbLDOvtL7Xbb9x	70.0	1995	0.649	0.531	4.0	1.0	0.488	78.946	258133
onion::2RcsNSMvmpugDVWf	2RcsNSMvmpugDVWf	184ImITRjcX2h1awZ4WVT1	41.0	1999	0.478	0.76	10.0	1.0	0.336	150.07399999999996	229867
onion::2XPjJSmbNHT3mqsq	2XPjJSmbNHT3mqsq	3Te8uLyit6X3ncNW8Fp3K2	70.0	2015	0.613	0.8740000000000001	2.0	1.0	0.5429999999999999	108.038	189387
onion::2XS4Mksu0ttYo73r	2XS4Mksu0ttYo73r	3ivqs39ibL7diQLRy5f1ex	41.0	2016	0.866	0.349	2.0	1.0	0.5539999999999999	110.02	163707
onion::2XWWI9xlZ78fcOQZ	2XWWI9xlZ78fcOQZ	57V4uc2b2diZ4RPHXWecb9	61.0	2014	0.539	0.179	7.0	1.0	0.145	140.01	198027
onion::2XyyURUsZsPTJet6	2XyyURUsZsPTJet6	67S4txTdRhXIulO1eevvME	45.0	2013	0.563	0.868	1.0	1.0	0.294	92.962	184537
onion::2dVEEzoMPhsZBQND	2dVEEzoMPhsZBQND	0gvjs4NDHjwlC8fyWoOTUz	34.0	1991	0.448	0.915	4.0	1.0	0.906	154.149	190573
onion::2dkKz73DoOTkZxjH	2dkKz73DoOTkZxjH	7eVnrWEXTTedaLxDTOYzuV	32.0	2017	0.643	0.785	0.0	1.0	0.361	112.969	244987
onion::2fMVrcGwcE2faINe	2fMVrcGwcE2faINe	2XwYeBzumtjxVbFWwhJpsy	53.0	1980	0.485	0.935	2.0	1.0	0.68	155.608	321800
onion::2grUYapeBrFyrYN7	2grUYapeBrFyrYN7	1eQXuEHvm3FPm0iSIJOEWk	29.0	2013	0.452	0.857	9.0	1.0	0.298	182.788	227627
onion::2gzdaeBJKLa49RjW	2gzdaeBJKLa49RjW	73PeJULcxI9PyIb1zlcOIo	20.0	2005	0.463	0.7340000000000001	6.0	0.0	0.35100000000000003	144.08700000000005	175693
onion::2ooQh9lqQnT8P6bS	2ooQh9lqQnT8P6bS	1tmRlF5pFo8G5OfJYUjWrR	48.0	2016	0.625	0.71	0.0	0.0	0.573	160.14700000000005	282732
onion::2q1unFTlSk9GG6Wn	2q1unFTlSk9GG6Wn	5vEE1d5gkv3pgfZyppLeX8	46.0	2010	0.224	0.925	11.0	0.0	0.378	138.02200000000002	132760
onion::2w6nDWjxoC1sCSuC	2w6nDWjxoC1sCSuC	5EJ19LKdjPEHJKBLlyNq1h	35.0	2013	0.389	0.868	7.0	1.0	0.4970000000000001	90.009	219386
onion::30t0E6VjzZNzBgIN	30t0E6VjzZNzBgIN	23oxJmDc1V9uLUSmN2LIvx	69.0	2003	0.486	0.904	6.0	0.0	0.7859999999999999	173.734	198267
onion::347Okpnj0JqWBA6W	347Okpnj0JqWBA6W	5INhgLY5BQfXAr61XPAoSq	52.0	2014	0.522	0.856	8.0	1.0	0.8759999999999999	167.734	295360
onion::34vBSohWZmZnZbCq	34vBSohWZmZnZbCq	1ixphys4A3NEXp6MDScfih	69.0	2015	0.6609999999999999	0.6509999999999999	7.0	0.0	0.368	87.46	202915
onion::384QbTcrmsb3DKiY	384QbTcrmsb3DKiY	6tDxrq4FxEL2q15y37tXT9	66.0	1995	0.773	0.542	6.0	1.0	0.31	84.124	280000
onion::393YyCL4dOzjeDXO	393YyCL4dOzjeDXO	1KLpjQFgubHI3GkAICCNH3	58.0	2004	0.526	0.774	5.0	1.0	0.715	131.715	150706
onion::39YdqZgV0dk86vFO	39YdqZgV0dk86vFO	06EL94D0TA27Ik0Ke5usbj	64.0	2013	0.644	0.879	5.0	0.0	0.83	82.51799999999999	227027
onion::3CMAkskNLzJlfREr	3CMAkskNLzJlfREr	0KAiuUOrLTIkzkpfpn9jb9	69.0	2012	0.765	0.8370000000000001	1.0	0.0	0.721	122.028	195973
onion::3ErV85kWuvu7qcD5	3ErV85kWuvu7qcD5	4qWCFTuNnmGNdY4egtb4ZY	70.0	2018	0.645	0.657	9.0	0.0	0.136	104.931	228227
onion::3F0FtztEXfHzblDe	3F0FtztEXfHzblDe	0Z0s6dw0zw2ENU1gVjlLV6	50.0	1982	0.513	0.838	11.0	0.0	0.428	133.287	334733
onion::3HDWcbqiTkira9kn	3HDWcbqiTkira9kn	0n7d3no0cHnsnkgfFzDuj4	50.0	2001	0.461	0.936	9.0	1.0	0.484	184.18400000000003	243507
onion::3HHUCsecgSSZc1L4	3HHUCsecgSSZc1L4	7GLqxrkceMlnw2OMZleOeg	40.0	2018	0.8170000000000001	0.463	6.0	1.0	0.956	115.989	130917
onion::3Idf0Ywuvnl3yAgy	3Idf0Ywuvnl3yAgy	7gqIu1VejwZG3GasjUxeG6	35.0	2013	0.364	0.711	1.0	0.0	0.431	200.739	177560
onion::3LMrs5V0yYBs47qc	3LMrs5V0yYBs47qc	74BIr8H03lr5L6LZ1friIa	56.0	2017	0.835	0.521	5.0	0.0	0.211	158.923	147427
onion::3NMztCunn5w05vzy	3NMztCunn5w05vzy	1crbFuCkGL4kXnAGd63RXq	51.0	2005	0.579	0.662	9.0	1.0	0.574	102.951	203733
onion::3OWPc4okLT83N1tr	3OWPc4okLT83N1tr	61P1PWElJfgK4JUlBZiOkA	36.0	2001	0.522	0.12	2.0	1.0	0.237	154.357	293693
onion::3OYGrSVx0Ogp4EX6	3OYGrSVx0Ogp4EX6	0Aqq7XzLITjuOXTyOKNrMo	24.0	2006	0.399	0.98	1.0	1.0	0.185	110.047	198960
onion::3RHbXrHmErjoHEky	3RHbXrHmErjoHEky	6EapmpsWuGEvrPIJREv17s	35.0	2016	0.386	0.544	2.0	1.0	0.458	139.54399999999998	288920
onion::3SD0dkASvfbU4RoX	3SD0dkASvfbU4RoX	3lPn81PFyKvXiyHhlkwkQ4	59.0	2015	0.271	0.903	6.0	0.0	0.22	147.159	274133
onion::3WaXYrE8QXfL6dcW	3WaXYrE8QXfL6dcW	6W7g1KDTziowi8eHHvibg8	35.0	2013	0.397	0.961	0.0	1.0	0.5820000000000001	76.42699999999998	76293
onion::3WbLHly5FdqBrZeo	3WbLHly5FdqBrZeo	1ZWLWVqeEMWMKTlteS0yLH	63.0	2015	0.546	0.657	1.0	1.0	0.361	133.188	196933
onion::3Y38upRWxIOVg0Uq	3Y38upRWxIOVg0Uq	751gBcu62kORDelX7FV0mM	57.0	1999	0.722	0.595	1.0	0.0	0.738	79.98	217827
onion::3ddGJ4TmenmyC5Fj	3ddGJ4TmenmyC5Fj	6eT7xZZlB2mwyzJ2sUKG6w	76.0	2016	0.675	0.562	7.0	1.0	0.309	130.09799999999998	256533
onion::3g70a1c5v6S6dbrl	3g70a1c5v6S6dbrl	5z1Yde01fIsC6NaswUXbDI	49.0	2017	0.593	0.506	2.0	1.0	0.378	91.273	250267
onion::3lo7TK4euI2eG5lT	3lo7TK4euI2eG5lT	3xs5OAP8sEBJo8DKIZ1WnJ	40.0	2016	0.662	0.8640000000000001	7.0	1.0	0.306	100.003	188173
onion::3oJflRW3ftkj1IYu	3oJflRW3ftkj1IYu	2VEZx7NWsZ1D0eJ4uv5Fym	60.0	2001	0.644	0.664	9.0	1.0	0.53	124.726	301373
onion::3qUCyk5yGaWFv5Gk	3qUCyk5yGaWFv5Gk	0mkhq75p0pzploX7Gl9BFh	16.0	2000	0.563	0.898	10.0	1.0	0.731	148.9	240133
onion::3s3OGyFZzcIQlAt9	3s3OGyFZzcIQlAt9	2HrgY8IeC2nE5Hrr17jIii	33.0	2011	0.308	0.337	1.0	1.0	0.21	111.556	150680
onion::3shrACNQQ5eeQEAO	3shrACNQQ5eeQEAO	3wFLWP0FcIqHK1wb1CPthQ	73.0	2019	0.45	0.619	9.0	1.0	0.4270000000000001	83.3	208880
onion::3tNQWrL8rYL7zBmY	3tNQWrL8rYL7zBmY	5JeZZtqY0loM9UHQVIChby	39.0	2011	0.214	0.182	8.0	1.0	0.104	143.171	174867
onion::3uGoCwKU19pVGm08	3uGoCwKU19pVGm08	0nJdcCGiQ1mKKTq8yaUCiH	49.0	2018	0.324	0.7879999999999999	1.0	1.0	0.236	104.996	225400
onion::3vbtwqhpTpQXYKs5	3vbtwqhpTpQXYKs5	0SuG9kyzGRpDqrCWtgD6Lq	71.0	2011	0.526	0.328	1.0	1.0	0.11	116.068	526387
onion::3xvGGMBJCzfNTzUY	3xvGGMBJCzfNTzUY	5NShvMH3lRmQPW4qc0hYKY	34.0	1998	0.721	0.295	8.0	1.0	0.452	107.807	174533
onion::41pnZaI0JxiJpri1	41pnZaI0JxiJpri1	1jugG2ptzEPcLUxSbCiY4A	30.0	2012	0.644	0.878	9.0	0.0	0.573	140.028	231760
onion::43BuB9MtwpIgdzDN	43BuB9MtwpIgdzDN	6dDcfbMUFkFDk6x93kITY7	41.0	1994	0.735	0.457	8.0	0.0	0.334	136.138	304107
onion::44GMCQg3Fn0fUOqg	44GMCQg3Fn0fUOqg	2ctjDCCg1wHoQSjIJ8p6U4	55.0	2014	0.897	0.8640000000000001	11.0	0.0	0.542	95.981	207627
onion::457zeAGLYdmg7aYw	457zeAGLYdmg7aYw	1c5KZhtOAOH7eFOlBekNhS	57.0	1982	0.6779999999999999	0.735	9.0	1.0	0.775	174.991	279399
onion::48VdPLCPJnZaYlBX	48VdPLCPJnZaYlBX	5TpPSTItCwtZ8Sltr3vdzm	45.0	2009	0.556	0.486	2.0	1.0	0.243	119.955	236533
onion::4CErT0XGCT9rqVQA	4CErT0XGCT9rqVQA	1YdbiBOWvFUi6Zko3HXyEG	43.0	2007	0.518	0.932	10.0	0.0	0.279	126.94	298587
onion::4D0c5jMxcaQGMsKO	4D0c5jMxcaQGMsKO	0XGiCdsCrUZmImVOEM6HMn	44.0	2018	0.647	0.409	6.0	0.0	0.11	113.906	166184
onion::4EjXcFfyGb8U1lb9	4EjXcFfyGb8U1lb9	53Y6CfiSLbZyHpY9Cm39WM	43.0	2006	0.5479999999999999	0.779	4.0	0.0	0.17600000000000002	143.881	324907
onion::4HGggyltc2DcUqYj	4HGggyltc2DcUqYj	6xW8HRiBYiMu8tHpuWRD8k	25.0	2004	0.26	0.924	6.0	1.0	0.545	188.077	211973
onion::4IiknhfE7MX87bpJ	4IiknhfE7MX87bpJ	6FhB5ZyT4JsIJ0ozDlXCIp	55.0	2012	0.503	0.921	8.0	0.0	0.359	121.983	221160
onion::4IuSbTUBgzThz8uI	4IuSbTUBgzThz8uI	3kKVqFF4pv4EXeQe428zl2	53.0	1994	0.5770000000000001	0.421	4.0	1.0	0.737	168.009	471560
onion::4MMCSUPw4ybpd0i8	4MMCSUPw4ybpd0i8	3MLtopC0uho28PxZN7Zecy	63.0	2013	0.84	0.608	6.0	1.0	0.727	115.012	231320
onion::4NTs38Oec0JrCQFz	4NTs38Oec0JrCQFz	5YaLFRpqpUzgLLDcukNn0H	57.0	2006	0.483	0.631	10.0	0.0	0.212	117.993	224107
onion::4Qrv825yF8YcDqF0	4Qrv825yF8YcDqF0	2wAJTrFhCnQyNSD3oUgTZO	70.0	2011	0.831	0.4270000000000001	2.0	1.0	0.21600000000000005	93.004	235320
onion::4R1LOOq2sAnvmUhS	4R1LOOq2sAnvmUhS	6eygbzyL6hY8jFQTARDuo9	62.0	2017	0.6579999999999999	0.46	6.0	0.0	0.223	114.801	164710
onion::4S5TzGUyoD3frg8B	4S5TzGUyoD3frg8B	665Jxlgi1HamPKbW1vwzx4	64.0	1984	0.706	0.322	5.0	1.0	0.305	135.154	221133
onion::4S8s0vwC5BSH2Npt	4S8s0vwC5BSH2Npt	5eJmLtUQ4oBY7GQSXXsOfG	27.0	2017	0.716	0.794	7.0	1.0	0.843	149.98	181777
onion::4W3D6JZ2XeBFekMk	4W3D6JZ2XeBFekMk	6CiPGcWJ3YykntxFjaaOJH	34.0	2012	0.336	0.944	9.0	0.0	0.384	151.564	310387
onion::4bwo9eFS7kpKIyCk	4bwo9eFS7kpKIyCk	3KwwE4sgCzMaKWq6QBebmX	68.0	2017	0.934	0.6940000000000001	11.0	0.0	0.835	123.829	181240
onion::4e68v4JTM9gzdlb7	4e68v4JTM9gzdlb7	7JapIbw0DdMY8FZfS3sTtd	28.0	1995	0.35	0.395	11.0	0.0	0.28	94.337	358933
onion::4fQy322KQGMmKyyD	4fQy322KQGMmKyyD	4AmcmraFjVzFb9SQDNTRyl	60.0	2013	0.4	0.525	0.0	1.0	0.408	146.977	253013
onion::4gO7mQOVITAklJOx	4gO7mQOVITAklJOx	1ubvV5ECkm6nSI6g1HmbBK	48.0	2010	0.589	0.47	4.0	1.0	0.102	119.386	403920
onion::4k7d5ZDGW7ji9Wgq	4k7d5ZDGW7ji9Wgq	4Fpsa3pYc3gozrxHRRPvR6	54.0	1998	0.561	0.909	3.0	1.0	0.71	127.172	320693
onion::4n8JcDsvrfZjIDlu	4n8JcDsvrfZjIDlu	17FK4etx1u2NK60cptINMS	68.0	2019	0.626	0.639	10.0	1.0	0.638	144.009	212783
onion::4nH74iwvQxuGWrMv	4nH74iwvQxuGWrMv	3Q17BTJ1pOOE139fV3OefK	29.0	2007	0.653	0.954	5.0	1.0	0.971	127.02	298013
onion::4qXuDgBO2q1AELxe	4qXuDgBO2q1AELxe	5ZaVrRNqXcNDUj8RWhfv06	42.0	2014	0.706	0.88	0.0	1.0	0.7390000000000001	125.994	202347
onion::4rxZU0ggClzaRBSZ	4rxZU0ggClzaRBSZ	0LlASmgBDotmig07p6j0YZ	27.0	1995	0.341	0.534	2.0	1.0	0.314	113.857	297040
onion::4tLCY2BMGU7mPi4V	4tLCY2BMGU7mPi4V	1bqrRn1pJWowNLA5N9L6uW	55.0	2015	0.5429999999999999	0.907	6.0	0.0	0.616	80.5	262213
onion::4xW5PHZraUlOQSY7	4xW5PHZraUlOQSY7	1TwLKNsCnhi1HxbIi4bAW0	70.0	2014	0.747	0.861	8.0	1.0	0.8590000000000001	103.966	190240
onion::4ynKDzjeGGkq8JOt	4ynKDzjeGGkq8JOt	10RQKVSr4rS0coExTmi4dF	55.0	2014	0.451	0.893	7.0	1.0	0.0971	139.763	238173
onion::50Fs9Gagh8bCBnOE	50Fs9Gagh8bCBnOE	7MuvsYvmpO4dGBjtW0TWlU	34.0	2016	0.156	0.934	2.0	0.0	0.203	177.082	319987
onion::50o7VBkQApF5C6nb	50o7VBkQApF5C6nb	2AgwHCE9KGRvA8ftSA15td	24.0	2016	0.394	0.6809999999999999	1.0	0.0	0.134	68.017	85200
onion::53sECkBeNy9mkUNy	53sECkBeNy9mkUNy	1eamsmwcYYhJwTgMFdQ6YN	51.0	1982	0.8809999999999999	0.546	7.0	1.0	0.852	102.814	320413
onion::56jKcjdbT4P4mBY6	56jKcjdbT4P4mBY6	6TpZ9vYv48GTNnPKRFEdZd	26.0	1981	0.534	0.251	0.0	0.0	0.494	104.577	127093
onion::57hqkyEdEfeAP3aK	57hqkyEdEfeAP3aK	3BZGi1yUqQyCNC868AqUGG	62.0	1984	0.748	0.414	2.0	0.0	0.239	97.646	286160
onion::58hKf3RzL7dpuFLE	58hKf3RzL7dpuFLE	6Zbv79YWB0iZSXwIwEsIOP	40.0	2004	0.416	0.883	10.0	1.0	0.7879999999999999	178.33	179467
